modality,webwork,webwork,webwork,webwork,webwork,webwork,webwork,webwork,webwork,gateway,gateway,gateway,gateway,gateway,gateway,tutorial,tutorial,tutorial,tutorial,tutorial,tutorial,tutorial,tutorial,tutorial,tutorial,tutorial,exam,exam,exam,exam,exam,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary
standard,ch0-COM-vecarith,ch0-COM-angle,ch0-CON-vecline,ch0-VG-plane,ch1-COM-rref,ch1-COM-augset,ch1-CON-augsoltype,ch1-CON-matlincom,ch2-COM-matvec,ch0-COM-vecarith,ch1-COM-rref,ch1-COM-augset,ch2-COM-matvec,ch2-COM-standmat,ch2-COM-inv,ch0-COM-vecarith,ch0-CON-vecline,ch0-VG-plane,ch0-WRIT-sets,ch1-COM-rref,ch1-CON-augsoltype,ch1-VG-gslinsys,ch2-COM-standmat,ch2-CON-lintranscheck,ch2-VG-unitlintrans,chg-WRIT-matnot,ch0-CON-vecline,ch0-VG-plane,ch0-WRIT-sets,ch1-CON-augsoltype,ch1-VG-gslinsys,achieved_webwork,tested_webwork,frac_webwork,achieved_gateway,tested_gateway,frac_gateway,achieved_tutorial,tested_tutorial,frac_tutorial,achieved_exam,tested_exam,frac_exam
student01,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,,,1.0,,,,1.0,,1.0,,,1,1,1,0,1,5,9,0.556,5,6,0.833,3.0,3,1.0,4,5,0.8
student02,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,,,1.0,,,,1.0,,,1.0,,1,1,1,1,1,8,9,0.889,6,6,1.0,3.0,3,1.0,5,5,1.0
student03,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,,,1.0,,1.0,0.0,,0.0,,,0.0,0,1,0,0,1,4,9,0.444,4,6,0.667,2.0,5,0.4,2,5,0.4
student04,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,,,1.0,,,1.0,,,,1.0,,1,1,1,1,1,8,9,0.889,6,6,1.0,3.0,3,1.0,5,5,1.0
student05,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,,,1.0,,,1.0,,,,1.0,,0,1,0,0,1,2,9,0.222,5,6,0.833,3.0,3,1.0,2,5,0.4
student06,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,,0.0,,0.0,1.0,,,,1.0,,1.0,1,1,1,1,1,6,9,0.667,3,6,0.5,3.0,5,0.6,5,5,1.0
student07,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,,,0.0,,,1.0,,0.0,,,0.0,1,0,1,1,0,5,9,0.556,1,6,0.167,1.0,4,0.25,3,5,0.6
student08,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1.0,,,,,,1.0,,1.0,,1.0,1,1,0,1,0,8,9,0.889,5,6,0.833,4.0,4,1.0,3,5,0.6
student09,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,,1.0,,,,,1.0,,0.0,,,1,1,0,1,1,3,9,0.333,3,6,0.5,2.0,3,0.667,4,5,0.8
student10,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,,1.0,,1.0,1.0,,,,,1.0,1.0,1,1,1,1,1,8,9,0.889,5,6,0.833,5.0,5,1.0,5,5,1.0
student11,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,,,0.0,1.0,1.0,,,,,1.0,1.0,1,0,1,0,0,2,9,0.222,2,6,0.333,4.0,5,0.8,2,5,0.4
student12,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,,0.0,,,,0.0,,,,1.0,,1,1,1,1,1,6,9,0.667,6,6,1.0,1.0,3,0.333,5,5,1.0
student13,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,,,1.0,1.0,1.0,,,1.0,,,1.0,1,1,1,1,1,6,9,0.667,3,6,0.5,5.0,5,1.0,5,5,1.0
student14,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0.0,,,,,,1.0,1.0,,,0.0,0,1,1,0,1,5,9,0.556,3,6,0.5,2.0,4,0.5,3,5,0.6
