login_name,SBG1,SBG2,SBG3,tut1-1-1,tut1-2-1,tut1-3-1,tut2-1-1,tut2-1-2,tut2-2-1,tut2-3-1,tut3-1-1,tut3-2-1,tut3-3-1
student01,3,3,2,,,TRUE,,,,TRUE,,TRUE,
student02,3,3,3,,,TRUE,,,,TRUE,,,TRUE
student03,3,2,1,,,TRUE,,,FALSE,,FALSE,,
student04,3,2,3,,,TRUE,,,TRUE,,,,TRUE
student05,3,2,3,,,TRUE,,,TRUE,,,,TRUE
student06,2,1,2,,FALSE,,TRUE,FALSE,,,,TRUE,
student07,3,2,1,,,FALSE,,,TRUE,,FALSE,,
student08,1,3,2,TRUE,,,,,,TRUE,,TRUE,
student09,2,3,2,,TRUE,,,,,TRUE,,FALSE,
student10,2,1,3,,TRUE,,TRUE,TRUE,,,,,TRUE
student11,3,1,3,,,FALSE,TRUE,TRUE,,,,,TRUE
student12,2,2,3,,FALSE,,,,FALSE,,,,TRUE
student13,3,1,1,,,TRUE,TRUE,TRUE,,,TRUE,,
student14,1,3,1,FALSE,,,,,,TRUE,TRUE,,
student15,1,2,1,TRUE,,,,,FALSE,,FALSE,,
student16,3,3,3,,,TRUE,,,,FALSE,,,TRUE
student17,1,2,3,TRUE,,,,,TRUE,,,,TRUE
student18,3,3,2,,,FALSE,,,,FALSE,,TRUE,
student19,1,1,3,FALSE,,,TRUE,TRUE,,,,,TRUE
student20,3,3,3,,,TRUE,,,,TRUE,,,FALSE
student21,3,2,3,,,TRUE,,,TRUE,,,,TRUE
student22,1,2,2,FALSE,,,,,TRUE,,,FALSE,
student23,1,1,2,FALSE,,,FALSE,TRUE,,,,TRUE,
student24,1,2,1,FALSE,,,,,TRUE,,TRUE,,
student25,3,2,3,,,TRUE,,,TRUE,,,,TRUE
student26,2,2,3,,FALSE,,,,TRUE,,,,TRUE
student27,1,1,3,TRUE,,,FALSE,TRUE,,,,,TRUE
student28,3,2,3,,,TRUE,,,TRUE,,,,FALSE
student29,2,1,1,,FALSE,,TRUE,TRUE,,,FALSE,,
student30,1,2,3,FALSE,,,,,TRUE,,,,TRUE
