modality,webwork,webwork,webwork,webwork,webwork,webwork,webwork,gateway,gateway,gateway,gateway,gateway,gateway,gateway,tutorial,tutorial,tutorial,tutorial,tutorial,tutorial,tutorial,tutorial,tutorial,tutorial,tutorial,tutorial,exam,exam,exam,exam,exam,exam,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary
standard,ch0-COM-vecarith,ch0-CON-vecline,ch0-VG-plane,ch1-COM-rref,ch1-CON-augsoltype,ch1-VG-rowpic,ch2-COM-matvec,ch0-COM-vecarith,ch0-CON-vecline,ch1-COM-rref,ch1-CON-augsoltype,ch2-COM-matvec,ch2-CON-lintrans,ch2-COM-standmat,ch0-COM-vecarith,ch0-CON-vecline,ch0-VG-plane,ch0-WRIT-sets,ch1-COM-rref,ch1-CON-augsoltype,ch1-VG-rowpic,ch2-COM-matvec,ch2-CON-lintrans,ch2-VG-unitlintrans,ch2-COM-standmat,chg-WRIT-matnot,ch0-CON-vecline,ch0-VG-plane,ch0-WRIT-sets,ch1-CON-augsoltype,ch1-VG-rowpic,ch2-CON-lintrans,achieved_webwork,tested_webwork,frac_webwork,achieved_gateway,tested_gateway,frac_gateway,achieved_tutorial,tested_tutorial,frac_tutorial,achieved_exam,tested_exam,frac_exam
student01,1,1,0,1,0,1,0,1,1,1,0,1,1,1,,,1.0,,,,1.0,,1.0,,,,1,1,1,0,1,1,4,7,0.571,6,7,0.857,3.0,3,1.0,5,6,0.833
student02,1,1,1,1,0,1,1,1,1,1,1,1,1,1,,,1.0,,,,1.0,,,1.0,,,1,1,1,1,1,1,6,7,0.857,7,7,1.0,3.0,3,1.0,6,6,1.0
student03,1,0,0,1,0,1,0,1,1,1,0,1,0,1,,,1.0,,1.0,0.0,,0.0,,,0.0,0.0,0,1,0,0,1,0,3,7,0.429,5,7,0.714,2.0,6,0.333,2,6,0.333
student04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1.0,,,1.0,,,,1.0,,,1,1,1,1,1,1,7,7,1.0,7,7,1.0,3.0,3,1.0,6,6,1.0
student05,0,0,0,0,1,1,0,1,1,1,0,1,1,1,,,1.0,,,1.0,,,,1.0,,,0,1,0,0,1,0,2,7,0.286,6,7,0.857,3.0,3,1.0,2,6,0.333
student06,0,0,1,1,0,1,1,0,1,0,1,0,1,0,,0.0,,0.0,1.0,,,,1.0,,,1.0,1,1,1,1,1,1,4,7,0.571,3,7,0.429,3.0,5,0.6,6,6,1.0
student07,1,0,1,1,0,0,1,0,0,0,0,0,1,0,,,0.0,,,1.0,,0.0,,,0.0,0.0,1,0,1,1,0,1,4,7,0.571,1,7,0.143,1.0,5,0.2,4,6,0.667
student08,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1.0,,,,,,1.0,,1.0,,,1.0,1,1,0,1,0,0,7,7,1.0,6,7,0.857,4.0,4,1.0,3,6,0.5
student09,1,0,0,0,1,1,0,0,0,0,1,1,1,1,,1.0,,,,,1.0,,0.0,,,,1,1,0,1,1,0,3,7,0.429,4,7,0.571,2.0,3,0.667,4,6,0.667
student10,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1.0,,1.0,1.0,,,,,1.0,,1.0,1,1,1,1,1,1,7,7,1.0,6,7,0.857,5.0,5,1.0,6,6,1.0
student11,0,0,0,1,1,0,0,1,0,0,0,0,1,0,,,0.0,1.0,1.0,,,,,1.0,,1.0,1,0,1,0,0,1,2,7,0.286,2,7,0.286,4.0,5,0.8,3,6,0.5
student12,1,1,1,0,0,1,1,1,1,1,1,1,1,1,,0.0,,,,0.0,,,,1.0,,,1,1,1,1,1,1,5,7,0.714,7,7,1.0,1.0,3,0.333,6,6,1.0
student13,1,1,0,0,1,1,1,1,0,1,1,0,0,0,,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1,1,1,1,1,1,5,7,0.714,3,7,0.429,6.0,6,1.0,6,6,1.0
student14,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0.0,,,,,,1.0,1.0,,,1.0,0.0,0,1,1,0,1,1,3,7,0.429,4,7,0.571,3.0,5,0.6,4,6,0.667
student15,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1.0,,,,,0.0,,0.0,,,0.0,0.0,0,0,0,0,0,0,1,7,0.143,3,7,0.429,1.0,5,0.2,0,6,0.0
student16,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,,1.0,,,,0.0,,,1.0,,,0,0,1,1,1,1,0,7,0.0,6,7,0.857,2.0,3,0.667,4,6,0.667
student17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,,,,,1.0,,,,1.0,,1.0,1,1,1,1,0,1,7,7,1.0,7,7,1.0,4.0,4,1.0,5,6,0.833
